Datetime,Tem,Irr,PV
2020-01-01 00:00:00,-5.4,0.0,0.0
2020-01-01 01:00:00,-5.2,0.0,0.0
2020-01-01 02:00:00,-5.3,0.0,0.0
2020-01-01 03:00:00,-5.4,0.0,0.0
2020-01-01 04:00:00,-5.3,0.0,0.0
2020-01-01 05:00:00,-4.8,0.0,0.0
2020-01-01 06:00:00,-4.6,0.0,0.0
2020-01-01 07:00:00,-4.4,0.0,0.0
2020-01-01 08:00:00,-4.1,0.0,0.0
2020-01-01 09:00:00,-3.7,0.03,0.0
2020-01-01 10:00:00,-3.1,0.14,3.7119999999999997
2020-01-01 11:00:00,-2.1,0.52,40.425
2020-01-01 12:00:00,-0.9,0.98,48.403
2020-01-01 13:00:00,0.9,1.09,40.883
2020-01-01 14:00:00,1.8,1.27,51.946999999999996
2020-01-01 15:00:00,1.3,0.68,37.58
2020-01-01 16:00:00,1.3,0.44,15.909
2020-01-01 17:00:00,0.9,0.15,4.387
2020-01-01 18:00:00,0.7,0.0,0.0
2020-01-01 19:00:00,0.8,0.0,0.0
2020-01-01 20:00:00,0.8,0.0,0.0
2020-01-01 21:00:00,0.7,0.0,0.0
2020-01-01 22:00:00,0.7,0.0,0.0
2020-01-01 23:00:00,0.7,0.0,0.0
2020-01-02 00:00:00,0.7,0.0,0.0
2020-01-02 01:00:00,0.7,0.0,0.0
2020-01-02 02:00:00,0.7,0.0,0.0
2020-01-02 03:00:00,0.7,0.0,0.0
2020-01-02 04:00:00,0.5,0.0,0.0
2020-01-02 05:00:00,0.5,0.0,0.0
2020-01-02 06:00:00,0.6,0.0,0.0
2020-01-02 07:00:00,0.6,0.0,0.0
2020-01-02 08:00:00,0.7,0.0,0.0
2020-01-02 09:00:00,1.0,0.07,0.386
2020-01-02 10:00:00,1.6,0.27,7.28
2020-01-02 11:00:00,2.2,0.4,15.717
2020-01-02 12:00:00,2.9,0.43,17.91
2020-01-02 13:00:00,3.0,0.24,10.582
2020-01-02 14:00:00,3.3,0.35,20.176
2020-01-02 15:00:00,3.6,0.5,17.476
2020-01-02 16:00:00,3.5,0.29,10.679
2020-01-02 17:00:00,3.3,0.14,4.05
2020-01-02 18:00:00,2.5,0.01,0.024
2020-01-02 19:00:00,2.0,0.0,0.0
2020-01-02 20:00:00,1.4,0.0,0.0
2020-01-02 21:00:00,2.0,0.0,0.0
2020-01-02 22:00:00,1.7,0.0,0.0
2020-01-02 23:00:00,1.4,0.0,0.0
2020-01-03 00:00:00,0.9,0.0,0.0
2020-01-03 01:00:00,0.5,0.0,0.0
2020-01-03 02:00:00,0.2,0.0,0.0
2020-01-03 03:00:00,-0.3,0.0,0.0
2020-01-03 04:00:00,-0.6,0.0,0.0
2020-01-03 05:00:00,-1.0,0.0,0.0
2020-01-03 06:00:00,-1.4,0.0,0.0
2020-01-03 07:00:00,-1.7,0.0,0.0
2020-01-03 08:00:00,-1.9,0.0,0.0
2020-01-03 09:00:00,-1.6,0.21,3.929
2020-01-03 10:00:00,-0.6,0.69,39.364000000000004
2020-01-03 11:00:00,0.4,1.17,73.593
2020-01-03 12:00:00,1.4,1.49,111.48700000000001
2020-01-03 13:00:00,2.1,1.67,128.119
2020-01-03 14:00:00,3.6,1.64,127.396
2020-01-03 15:00:00,4.1,1.37,110.932
2020-01-03 16:00:00,3.7,0.88,61.589
2020-01-03 17:00:00,2.9,0.4,14.343
2020-01-03 18:00:00,2.1,0.03,0.313
2020-01-03 19:00:00,1.6,0.0,0.0
2020-01-03 20:00:00,1.6,0.0,0.0
2020-01-03 21:00:00,1.3,0.0,0.0
2020-01-03 22:00:00,1.2,0.0,0.0
2020-01-03 23:00:00,1.0,0.0,0.0
2020-01-04 00:00:00,0.9,0.0,0.0
2020-01-04 01:00:00,0.2,0.0,0.0
2020-01-04 02:00:00,0.3,0.0,0.0
2020-01-04 03:00:00,0.1,0.0,0.0
2020-01-04 04:00:00,-0.4,0.0,0.0
2020-01-04 05:00:00,-0.1,0.0,0.0
2020-01-04 06:00:00,0.3,0.0,0.0
2020-01-04 07:00:00,0.5,0.0,0.0
2020-01-04 08:00:00,0.2,0.0,0.0
2020-01-04 09:00:00,0.6,0.07,1.037
2020-01-04 10:00:00,2.1,0.57,21.863000000000003
2020-01-04 11:00:00,2.6,1.08,66.145
2020-01-04 12:00:00,3.8,1.46,101.845
2020-01-04 13:00:00,4.4,1.69,120.936
2020-01-04 14:00:00,4.8,1.63,117.682
2020-01-04 15:00:00,5.3,1.34,102.713
2020-01-04 16:00:00,5.4,0.88,45.438
2020-01-04 17:00:00,4.6,0.41,11.378
2020-01-04 18:00:00,3.8,0.03,0.313
2020-01-04 19:00:00,3.1,0.0,0.0
2020-01-04 20:00:00,2.6,0.0,0.0
2020-01-04 21:00:00,1.9,0.0,0.0
2020-01-04 22:00:00,1.8,0.0,0.0
2020-01-04 23:00:00,1.7,0.0,0.0
2020-01-05 00:00:00,0.7,0.0,0.0
2020-01-05 01:00:00,0.3,0.0,0.0
2020-01-05 02:00:00,-0.1,0.0,0.0
2020-01-05 03:00:00,-0.4,0.0,0.0
2020-01-05 04:00:00,-0.8,0.0,0.0
2020-01-05 05:00:00,-1.0,0.0,0.0
2020-01-05 06:00:00,-1.1,0.0,0.0
2020-01-05 07:00:00,-1.0,0.0,0.0
2020-01-05 08:00:00,-1.6,0.0,0.0
2020-01-05 09:00:00,-0.3,0.23,1.9769999999999999
2020-01-05 10:00:00,0.8,0.77,49.753
2020-01-05 11:00:00,2.1,1.28,99.21700000000001
2020-01-05 12:00:00,3.2,1.64,125.37100000000001
2020-01-05 13:00:00,3.8,1.62,118.935
2020-01-05 14:00:00,4.3,1.36,95.023
2020-01-05 15:00:00,4.1,0.84,61.227
2020-01-05 16:00:00,4.1,0.59,26.395
2020-01-05 17:00:00,3.6,0.26,9.859
2020-01-05 18:00:00,3.0,0.01,0.217
2020-01-05 19:00:00,2.8,0.0,0.0
2020-01-05 20:00:00,2.7,0.0,0.0
2020-01-05 21:00:00,2.3,0.0,0.0
2020-01-05 22:00:00,2.0,0.0,0.0
2020-01-05 23:00:00,1.7,0.0,0.0
2020-01-06 00:00:00,1.6,0.0,0.0
2020-01-06 01:00:00,1.9,0.0,0.0
2020-01-06 02:00:00,2.2,0.0,0.0
2020-01-06 03:00:00,2.3,0.0,0.0
2020-01-06 04:00:00,2.3,0.0,0.0
2020-01-06 05:00:00,1.8,0.0,0.0
2020-01-06 06:00:00,2.4,0.0,0.0
2020-01-06 07:00:00,2.3,0.0,0.0
2020-01-06 08:00:00,2.7,0.0,0.0
2020-01-06 09:00:00,3.2,0.03,0.193
2020-01-06 10:00:00,3.5,0.19,2.989
2020-01-06 11:00:00,4.2,0.38,11.088
2020-01-06 12:00:00,4.5,0.44,15.668
2020-01-06 13:00:00,4.9,0.35,10.51
2020-01-06 14:00:00,4.6,0.3,10.558
2020-01-06 15:00:00,4.4,0.2,6.05
2020-01-06 16:00:00,4.0,0.12,3.0610000000000004
2020-01-06 17:00:00,3.6,0.0,0.0
2020-01-06 18:00:00,3.6,0.0,0.0
2020-01-06 19:00:00,3.6,0.0,0.0
2020-01-06 20:00:00,3.7,0.0,0.0
2020-01-06 21:00:00,3.9,0.0,0.0
2020-01-06 22:00:00,4.1,0.0,0.0
2020-01-06 23:00:00,4.4,0.0,0.0
